"","DATE","pghngdp","fpi","old.q.number","patax","pghaww","pghawwp","pghhouse","pghmanuf","pghqwage"
"1","2001q1",NA,NA,"03",NA,NA,NA,NA,-2.4,NA
"2","2001q2",NA,NA,"06",NA,NA,NA,NA,-4.8,NA
"3","2001q3",NA,NA,"09",NA,NA,NA,NA,-5.9,NA
"4","2001q4",-0.0774223116891051,-0.144526503707358,"12",-1.09050024070621,-0.0108750226064096,-0.0181594227909834,0.136418025071833,-5.9,-0.0774223116891051
"5","2002q1",0.124830308778712,-0.148290545713095,"03",-0.31453370088802,0.0455332177727854,0.0304582823731181,0.150256788891664,-3,0.0109648244913103
"6","2002q2",0.147431896911897,-0.129490598088545,"06",0.791906009608525,0.0533998835495488,0.0602782965294359,0.128346657594953,0.3,0.0335664126244808
"7","2002q3",0.187386098677379,-0.0482587905139837,"09",0.468979969931944,0.0920665730442387,0.0810640895557952,0.145382078171377,3,0.0735206143899632
"8","2002q4",0.0280842862844395,-0.00594051121590411,"12",-0.734435507482907,0.0497668323427511,0.0489157743434241,0.134201487135964,3.8,0.0280842862844253
"9","2003q1",0.145830046543907,0.0458154797653449,"03",0.164445552969731,0.04323322774394,0.0396939702194636,0.149004117092403,3,0.012757173895892
"10","2003q2",0.158302751629364,0.146382460350441,"06",0.671843412414198,0.0645366116454404,0.0704324136547143,0.122362482375809,0.6,0.0252298789813352
"11","2003q3",0.184162017805221,0.271948085448425,"09",0.371427950487856,0.0933523684138642,0.108451258293837,0.115815175373175,0.3,0.0510891451572064
"12","2003q4",0.110933527754085,0.31949816353147,"12",-0.779976432190885,0.130272760576315,0.147711448959303,0.152109582356957,1.4,0.110933527754071
"13","2004q1",0.13993907754832,0.252899792840797,"03",0.419669237478814,0.0694893785099175,0.0693216575956939,0.158464677246151,1.3,0.0781939985764524
"14","2004q2",0.166303254301894,0.27370872776633,"06",1.07101567217264,0.08623997448775,0.0752400986633432,0.144220663117146,2.5,0.104558175330013
"15","2004q3",0.1771931864225,0.292864471572074,"09",0.553956301915896,0.103596301158724,0.0911349364917911,0.124758882627724,2.8,0.115448107450632
"16","2004q4",0.250219114632557,0.379797144488283,"12",-0.801986221115449,0.244169339909025,0.25991151661141,0.137656820249905,3.3,0.250219114632557
"17","2005q1",0.0618989439701494,0.341349840572004,"03",0.204178166420292,-0.00591896964090921,0.00434313890012916,0.136795682615961,4.5,-0.0126664054466943
"18","2005q2",0.152343074215239,0.329481777747851,"06",0.956849269716798,0.0771261985519338,0.0908290947841941,0.140534700975795,4.5,0.0777777247983948
"19","2005q3",0.162348166725664,0.332199619829797,"09",0.503273830728418,0.0823611516966665,0.0867694173156792,0.133597048847417,3.4,0.0877828173088204
"20","2005q4",0.224527645967967,0.2838398169262,"12",-0.9280514486532,0.212003104204815,0.226080067613399,0.102935213035874,3.2,0.224527645967953
"21","2006q1",0.0662267210857692,0.289760078415409,"03",0.137970850211637,0.138030096163284,0.142022476996672,0.0713068607462404,2.1,0.151725702912159
"22","2006q2",-0.00674863449224006,0.178611518189765,"06",1.03957110778995,0.0745419446482032,0.0891443750921148,0.03161662071102,1.5,0.0787503473341502
"23","2006q3",0.07619342952799,0.110677349169571,"09",0.440472725944417,0.146701387116888,0.150118214516937,0.0481746304751987,2,0.161692411354394
"24","2006q4",0.155832722355441,0.000614045221684734,"12",-0.937284152773898,0.136398447915191,0.158505756168179,0.075904579079964,1,0.155832722355456
"25","2007q1",0.208826980729796,0.013923968256865,"03",0.145555146676806,0.203493940863691,0.223884286055448,0.0804958968932539,1.6,0.232206402935432
"26","2007q2",0.184727687675732,0.0398304391501512,"06",1.14077822063217,0.180925309505842,0.186656018570901,0.0906179384192747,3.3,0.208107109881368
"27","2007q3",0.144195330857599,0.01383204832484,"09",0.516504396626431,0.144656630377909,0.144160422443665,0.0396831159037845,3.3,0.167574753063249
"28","2007q4",0.0340870789343484,-0.0420588706044782,"12",-1.05878405551216,0.0177123055392805,0.00485866285787395,0.0502803427676355,3.4,0.0340870789343768
"29","2008q1",0.15618715603965,-0.117041224762431,"03",0.0275617894217248,0.122290797505549,0.13221369975447,0.0937766420650554,1.4,0.136142129160049
"30","2008q2",0.14422672272056,-0.120226718059953,"06",0.921169322911503,0.109058146949479,0.114024901313091,0.058672212557866,-2.1,0.124181695840932
"31","2008q3",0.111281069542954,-0.157876093670382,"09",0.210376575358922,0.0836361079125325,0.0876588033982131,0.0092329807986502,-5.8,0.0912360426633114
"32","2008q4",0.0215921309583109,-0.339958174818356,"12",-1.32811919430482,0.0303605043619477,0.0303945980445164,-0.0644375768892935,-11.5,0.0215921309583109
"33","2009q1",-0.0278903830003117,-0.673179099157334,"03",-0.267838858810983,-0.0329963807081022,-0.0459265363104286,0.052935250744401,-16.4,-0.115287106779547
"34","2009q2",-0.0455171452363459,-0.797460838382793,"06",0.43755634921169,-0.0228861511749443,-0.0350989128683104,0.0655124189383436,-16.6,-0.132913869015553
"35","2009q3",-0.0876700506665458,-0.589362723156288,"09",0.10120948400764,-0.0505636832047927,-0.0654421577670483,0.024410063922339,-11.4,-0.175066774445767
"36","2009q4",0.0994370833940224,-0.218385809160463,"12",-1.20452171585342,0.151264068678639,0.148124033483814,-0.0556624954033076,-4.3,0.0994370833940081
"37","2010q1",0.0346035820235215,-0.0395275388243412,"03",0.298780822853509,-0.0130295311200577,-0.0192565812080119,-0.0553061091410711,4.1,-0.0617888210714455
"38","2010q2",0.265823144312833,0.12828973201243,"06",1.23133742826091,0.147269000296323,0.149272501072151,0.00545939659163963,9.5,0.169430741217838
"39","2010q3",0.14853404924618,0.139537188313991,"09",0.41535667589136,0.0195845598150726,0.0316115783995059,0.0761553433493987,8,0.0521416461512416
"40","2010q4",0.389936682875273,0.250387151145588,"12",-0.929494096396844,0.307630599254519,0.317603438144889,0.0870561842527628,6.5,0.389936682875273
"41","2011q1",0.0407821354123286,0.115357324953493,"03",0.200235957651614,0.04831801225437,0.0609322267424659,0.0382541863643162,5.4,0.0826180085864792
"42","2011q2",0.130605813963058,0.206852521416106,"06",1.03943110829136,0.131762914115512,0.115212669294564,-0.0187810949014739,2.4,0.172441687137194
"43","2011q3",0.127093576283528,0.290824183466988,"09",0.264777245847213,0.138419105401347,0.142116213596598,0.00218878254435495,2,0.16892944945765
"44","2011q4",0.127260068852209,0.39604138514019,"12",-1.3059334277348,0.0652611791209878,0.0593593694093713,0.0689147414603468,2,0.127260068852209
"45","2012q1",0.142408088307974,0.425769541745328,"03",0.34040659124414,0.152229882020325,0.170659537924138,0.0270460628981972,1.7,0.18176025481668
"46","2012q2",-0.0413223133942893,0.345412378394844,"06",0.892463292863759,-0.0392971009318046,-0.0254942833470508,0.0293112590929177,1.7,-0.00197014688559705
"47","2012q3",0.13396683510085,0.257439686832772,"09",0.271223433745519,0.167893180116629,0.173954629066792,0.0405948537528715,0.6,0.17331900160957
"48","2012q4",0.0330339625620439,0.191638762160906,"12",-1.24124469311158,-0.0049067359755135,0.00064139642487504,0.082437501866977,0.7,0.0330339625620297
"49","2013q1",0.12408645052831,0.169991343234649,"03",0.43229688611769,0.10291304434681,0.0922448583910942,0.0663031666278542,1.3,0.0818009942259437
"50","2013q2",0.146731597342324,0.194929223148804,"06",0.941449794721329,0.0961153830619494,0.103484249082353,0.0846567422390549,1.8,0.104446141039929
"51","2013q3",0.0660950362382096,0.200639479689649,"09",0.126477732403849,0.0387814745179114,0.0331215706648216,0.0856654498083032,2.3,0.0238095799358291
"52","2013q4",0.0571355500782147,0.209336349763962,"12",-1.26804507095311,0.0192252118636169,0.0247964015043536,0.0614834990058526,2.3,0.0571355500782005
"53","2014q1",0.0972701298633467,0.230537395515736,"03",0.325470073015268,0.113808255996503,0.107766764943854,0.00444327561839231,0.7,0.0598521564637053
"54","2014q2",0.118101294706889,0.268165486984216,"06",0.848949521636548,0.0742965668899522,0.0769914298516134,0.0918416499925776,1.4,0.080683321307248
"55","2014q3",0.114211595755478,0.288772237524785,"09",0.33041970745515,0.0893975469694688,0.0817584126915172,0.14778253938087,1.5,0.076793622355865
"56","2014q4",0.0828910676539749,0.277745989485066,"12",-0.977269557462691,0.00961481239985318,0.0170694547748909,0.14753184952334,0.9,0.0828910676539749
"57","2015q1",0.209034092823416,0.180417945691005,"03",0.481873493666392,0.290702463932483,0.298735566018795,0.0735041257084639,0.1,0.238035112499247
"58","2015q2",0.0643824832702791,0.114868949411239,"06",0.824953232988243,0.0769351295894225,0.0824506580302682,0.0849269872407064,-1.3,0.0933835029461108
"59","2015q3",0.0173102042845557,0.0948186117162351,"09",0.19158521585117,0.055779082101413,0.035912734539771,0.134231864641379,-1.5,0.0463112239604015
"60","2015q4",0.0450899922076928,0.054371695613824,"12",-1.10236747415892,-0.0292551291822498,-0.0400886133354845,0.111913897541704,-1.9,0.0450899922076928
