"","DATE","baa","fedfunds","gs10","monthnumber","paclaims","pcepi","pcepilfe","pghcivlabforce","pghempmanuf","pghpermits","pghunemp"
"1","2001m1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"2","2001m2",-0.0911396786093395,-1.02590774929321,-0.140352477158296,"2",-4.4120035748056,0.0186066484178582,0.0211598800908668,-0.00826431940726735,-0.0552792471906223,1.01029582075848,-0.233017030285219
"3","2001m3",-0.0458307368039463,-0.400037043211102,-0.504578834921994,"3",-0.543167520622006,0.00105804777658136,0.0124727170567986,0.0186075656580087,-0.0925196103569128,0.813946766235055,-0.237631527554157
"4","2001m4",0.346975775034492,-1.21171100808003,0.598329311763518,"4",0.230358694483293,0.0209905105462482,0.019050879608848,-0.029635519231185,-0.0978990733512468,4.72368180513869,-1.809874676815
"5","2001m5",0,-1.57383924263466,0.569907665445985,"5",-0.914496553573201,0.0314923239317508,0.00278182784415293,-0.0209978198281959,-0.142744274755184,-5.34235807508639,0.54554848892109
"6","2001m6",-0.149627873756801,-0.70435863594229,-0.247431446432826,"6",1.67458799663775,0.0213496435396934,0.0269064966130479,0.00326502138580054,-0.0726160354745709,1.13477662899927,1.02189370008368
"7","2001m7",0,-0.620293118870158,-0.0912551926226328,"7",-0.101114822270247,-0.00405651581709776,0.0309263482627102,0.0248352939234451,-0.0721677053352003,0.478195480407411,-0.500072356806816
"8","2001m8",-0.182051532093684,-0.38817400638623,-0.634819898692962,"8",-2.75321407466868,-0.00150276132590577,0.00582623272678617,-0.0309474692154623,-0.0730828998002764,-0.658557558101133,0.252640910373987
"9","2001m9",0.272051953972241,-2.07659527194353,-0.593935651256348,"9",0.375938203302269,-0.040796652121621,-0.0681981816716899,0.0588987965034917,-0.107635416444147,-0.806077868723388,-1.04413652387556
"10","2001m10",-0.180680954149294,-2.51273821346987,-0.412943971172741,"10",2.31008065788358,0.0421491457832417,0.0842057512590237,0.00808122915205445,-0.107653212192414,0.653056467609925,0.533421150850003
"11","2001m11",-0.152673815135612,-2.10142373399876,0.20824817631782,"11",0.775725631487035,-0.00811724946397163,0.0242616563374369,0.0128188243567067,-0.0886378106420516,-2.0920267335108,1.00057930726861
"12","2001m12",0.36320553094653,-1.65993077865619,1.084927331558,"12",4.46122537892464,-0.0123367027740713,0.00275720290235526,0.0054064358293715,-0.101561377454342,2.21953225328928,0
"13","2002m1",-0.271368348013926,-0.608581110948197,-0.11846098174985,"1",0.186163631677204,0.0108329056844561,0.00696274467712854,-0.035143750742435,-0.104751325669838,3.68625410876652,2.96232093517831
"14","2002m2",0.0304568691416538,0.0691644566010003,-0.313585683322176,"2",-4.9111898790124,0.0199851034491196,0.0227458008303785,0.0640476192559447,-0.0680173710752214,-3.74311687324536,-0.380984379774963
"15","2002m3",0.330020799234461,-0.0691644566010003,0.871825870940892,"3",-1.04666538755207,0.032685720214559,0.0143207601694293,-0.0142771188685629,-0.0632676003144006,-0.542547389435594,-0.393477873875892
"16","2002m4",-0.118960082023813,0.137932553108821,-0.160154903434736,"4",-0.631446503084781,0.0500551705398671,0.0334929598338469,0.0202485473657532,-0.0480153212586778,2.22928513858016,-1.26432618789391
"17","2002m5",0.0893304373407613,0,-0.11571931526165,"5",-0.618315918910348,0.00775107163151034,0.0133998537058311,0.0176480976907243,-0.00938082596037759,0.251575229349569,0
"18","2002m6",-0.209481628849916,0,-0.547171097266472,"6",0.724664805779568,0.0150406750764134,0.0189934929396713,-0.0107680527405236,-0.0383181496105856,-0.0432319263168814,0.648806655243309
"19","2002m7",-0.0757100303191756,-0.137932553108821,-0.701661221464005,"7",-0.0385633602200883,0.0264615263133479,0.0242736250815661,-0.000414348902538109,-0.080003969390706,0.539607346438089,0
"20","2002m8",-0.496194717824348,0.0691644566010003,-1.05117671181583,"8",-2.05634680147626,0.0235877414786607,0.0236518242477679,0.0170593378902382,0.00182166386120741,-0.383109704306268,-0.648806655243309
"21","2002m9",-0.288398393329873,0.0687680965078203,-1.15217583887506,"9",-0.0804986248214234,0.0216184259254177,0.0196028207736205,0.0448512194377528,-0.0219468364921802,1.57755541431035,-0.923532493633543
"22","2002m10",0.523546348670475,0,0.215114595217826,"10",2.22343936414274,0.0217272209968975,0.0101465419082096,-0.0196379132479549,-0.00127369053783966,0.558849446082977,0.237631527554157
"23","2002m11",-0.171989914809309,-3.20335408767123,0.330433893703264,"11",1.49538771827032,0.0119553529153293,0.011707875188069,-0.0225654868375642,-0.0493848909010772,-4.83213017529045,0.906090630097743
"24","2002m12",-0.270748047685037,-0.930698812150495,-0.0594060619182741,"12",5.31013388704275,0.0115013156674877,0.0111261686880866,0.00206820242698313,-0.0665436783859654,1.63394041769101,0.428616991224952
"25","2003m1",-0.162164630000678,0,0.0594060619182741,"1",-0.365652274487083,0.0357605194591741,0.00826662265155065,0.0718345254998525,0.0298166868135503,-0.481544601833125,1.93969621867699
"26","2003m2",-0.483063140635135,0.192004096157294,-0.452883935794167,"2",-3.70352796185281,0.0505887486814096,0.0165161806307808,0.0133955642820496,-0.230458244871567,0.398160003095537,0
"27","2003m3",-0.188440703141397,-0.0956180357901225,-0.280168367963892,"3",-1.43417837711865,0.0306890587900419,0.0191928387664717,-0.00640828162372742,-0.0577701058721978,-1.20877883212435,-0.738694715993203
"28","2003m4",-0.173916087630805,0.0956180357901225,0.463378033533355,"4",0.141834921664106,-0.0203044497891796,0.0133457970949955,0.0370877161912304,-0.00511821448820982,0.34742974235143,-1.4133964278766
