DATE,pghaww,pghmanuf,pghawwp,pghhouse,pghqwage
1990-03-01,444.63774963999700,-0.8,438.87699192648600,82.64,5768110584.5637900
1990-06-01,452.30129556025700,0.2,445.75813502984900,84.38,5889907961.8100700
1990-09-01,452.74031271500300,1.2,446.70230721293600,85.69,5914617123.2766700
1990-12-01,455.87517806675400,-0.4,450.17508597715600,85.90,5934031259.8012700
1991-03-01,459.94187465534300,-3.3,453.12913981429300,87.11,5991184059.6819000
1991-06-01,468.92830268021800,-3.2,461.47789187216800,88.80,6073466947.6202600
1991-09-01,472.85189047307100,-1.5,464.81425380965100,89.38,6110753451.8332500
1991-12-01,473.01784570514300,0.7,464.39913964557900,90.21,6114554069.6236300
1992-03-01,487.00417027666100,3.2,478.04152384131600,92.53,6332802914.1388100
1992-06-01,488.92227749785000,4.7,481.72318271598100,92.96,6387954692.0171400
1992-09-01,492.85932126820100,3.9,484.84056095793100,94.90,6442484341.8405300
1992-12-01,515.27300506034600,4.3,508.32088291144400,96.07,6713775384.3060200
1993-03-01,484.04436503599600,5.3,473.66913211505200,97.22,6373678796.2026300
1993-06-01,504.94539171431900,3.5,496.12538909680100,98.43,6617020331.2216600
1993-09-01,512.23279977636100,2.6,503.23153306795300,99.61,6723256511.6562500
1993-12-01,527.42283648350800,3.5,519.48091543810600,101.06,6920761959.8410700
1994-03-01,506.65721897858600,3.4,496.82443471114700,101.35,6681078820.2994600
1994-06-01,514.62887226966400,5.4,506.41402837492200,101.37,6813343399.6585200
1994-09-01,533.35206064237500,6.6,522.25666611550600,100.45,7084195616.1598200
1994-12-01,525.23507032442000,7.1,515.48637329073100,99.43,6977983497.9367200
1995-03-01,533.05528647996300,6.9,523.68051432811100,100.00,7139415911.1519700
1995-06-01,535.98680835843400,4.5,526.44061347452000,101.60,7168267216.3258200
1995-09-01,539.64965548996200,3.7,530.53565506311700,103.63,7203054518.3316300
1995-12-01,543.44769846797700,2.3,532.61090504917100,104.29,7272817982.1393700
1996-03-01,557.05991309524700,1.6,547.28038870941500,106.13,7477427530.3529800
1996-06-01,554.70475827061200,3.8,542.64123520715900,105.09,7481281321.0317800
1996-09-01,553.72038159306100,4.9,543.45112685037800,104.96,7457988010.8261700
1996-12-01,565.57488953061800,5.2,559.45542029824300,106.04,7652562205.4743700
1997-03-01,573.69194559907100,7.1,565.62400615142900,106.03,7822460361.6678100
1997-06-01,576.63764616881900,6.2,566.90978450445000,106.85,7836763626.3570700
1997-09-01,586.27998122430700,6.7,578.13679972642900,107.58,7976984541.8627900
1997-12-01,593.56561649252300,7.9,584.51017288069300,108.87,8158705834.6990400
1998-03-01,590.14776875654300,6.9,582.01547404927000,111.69,8111222434.9696100
1998-06-01,601.18836643182100,5.4,592.42601693763100,111.42,8315704762.2732800
1998-09-01,598.64894589044500,3.7,589.61748984702400,112.07,8291425563.5870300
1998-12-01,618.52079907244300,3.1,609.48440177232200,114.22,8644871089.6426300
1999-03-01,597.14174433654300,3.4,588.04417596505000,114.96,8484219176.3204900
1999-06-01,633.53122679147900,4.4,626.53308898194300,114.86,8887562577.5884300
1999-09-01,637.57400619766600,4.5,631.07375593245700,114.78,9141709963.6997800
1999-12-01,652.81973451904300,4.5,644.59506081282500,114.85,9205025747.4765100
2000-03-01,651.44876593693700,4.0,644.27121320712900,116.19,9279261817.2635300
2000-06-01,641.73678359392900,3.9,635.30671214057700,118.07,9167371011.3267500
2000-09-01,648.02169134984700,2.8,641.94840828790700,119.45,9245624077.8770000
2000-12-01,651.28145697751900,0.1,644.05561425212800,121.21,9351191392.1802200
2001-03-01,671.57416264601400,-2.4,663.36197934934900,124.81,9718079480.5444100
2001-06-01,669.77742945951200,-4.8,662.13620839776400,126.18,9614592191.8395600
2001-09-01,672.41165486688900,-5.9,661.68163603417000,127.58,9591149272.8395100
2001-12-01,669.75079636268200,-5.9,660.35723739588600,129.14,9531789130.5204100
2002-03-01,677.44526972886100,-3.0,667.19733600131600,131.01,9640983926.8910600
2002-06-01,681.44851759751400,0.3,671.72840664993000,131.74,9671973037.5342000
2002-09-01,685.34498603363400,3.0,673.87658090325300,133.92,9708604851.0721400
2002-12-01,685.92649709159100,3.8,675.40654726962200,135.48,9708912150.4716300
2003-03-01,688.85376936411900,3.0,678.42748263293800,136.74,9702869040.0443800
