"","variable","time","fcst_date","lower","median","upper"
"1","pghaww",236,2021-01-01,-0.622207411687336,-0.182101943082461,0.216875183343407
"2","pghaww",237,2021-02-01,-0.447706311012081,-0.121278504593572,0.177403517965073
"3","pghaww",238,2021-03-01,-0.338039555901853,0.100531151528325,0.530457886662823
"4","pghaww",239,2021-04-01,-0.254330882329971,0.243573200260039,0.71015762465637
"5","pghaww",240,2021-05-01,-0.224836309572828,0.154632284300042,0.525503347379053
"6","pghaww",241,2021-06-01,-0.531092043247592,-0.0358410048807146,0.410560695613322
"7","pghaww",242,2021-07-01,-0.668413828505368,-0.150209598754149,0.33533570678672
"8","pghaww",243,2021-08-01,-0.488961017036704,-0.0877401960649428,0.345647498778162
"9","pghaww",244,2021-09-01,-0.419040158015204,0.0807378279986315,0.573518966065837
"10","pghaww",245,2021-10-01,-0.334861060976779,0.186813462453996,0.716109144942472
"11","pghaww",246,2021-11-01,-0.339267345797308,0.143623999710848,0.59543940898503
"12","pghaww",247,2021-12-01,-0.515602722642311,-0.0101077325155214,0.500065162590785
"13","pghaww",248,2022-01-01,-0.676820506800556,-0.106198831299458,0.373639510840326
"14","pghaww",249,2022-02-01,-0.62035518384872,-0.0878893267837489,0.426635309622229
"15","pghaww",250,2022-03-01,-0.488518001878517,0.0645095612966064,0.63416457455641
"16","pghaww",251,2022-04-01,-0.378720832669555,0.165522498863687,0.770138034482678
"17","pghaww",252,2022-05-01,-0.39164093931008,0.136947621462586,0.652967253797842
"18","pghaww",253,2022-06-01,-0.5922401212392,0.0137964424186041,0.52644097608472
"19","pghaww",254,2022-07-01,-0.715204509560368,-0.0984868283329946,0.484832500587359
"20","pghaww",255,2022-08-01,-0.612200803674331,-0.06516948728371,0.478799540052276
"21","pghaww",256,2022-09-01,-0.502784844589655,0.0355827341249955,0.707686848128944
"22","pghaww",257,2022-10-01,-0.423008971328134,0.142458726609034,0.758509654333051
"23","pghaww",258,2022-11-01,-0.428868285531012,0.12828859138399,0.728865900194826
"24","pghaww",259,2022-12-01,-0.675696376545156,0.0174493064512686,0.543768882532073
"25","pghawwp",236,2021-01-01,-0.632244162935715,-0.185957130981,0.229044519886113
"26","pghawwp",237,2021-02-01,-0.447629776553278,-0.127483754442434,0.178646946547105
"27","pghawwp",238,2021-03-01,-0.323897683502703,0.105342045735817,0.56259115468848
"28","pghawwp",239,2021-04-01,-0.247532338333217,0.247225871482507,0.722709781987291
"29","pghawwp",240,2021-05-01,-0.211403347167087,0.160238726689151,0.553662254330414
"30","pghawwp",241,2021-06-01,-0.524751992073241,-0.0324941289466794,0.421160040230985
"31","pghawwp",242,2021-07-01,-0.667441365226762,-0.155239508661044,0.343427259664251
"32","pghawwp",243,2021-08-01,-0.49904227737693,-0.0909044472746368,0.346303046671602
"33","pghawwp",244,2021-09-01,-0.426050914590353,0.0788872088562337,0.587564404458894
"34","pghawwp",245,2021-10-01,-0.317002788154744,0.187434962102523,0.74577114887882
"35","pghawwp",246,2021-11-01,-0.362252020244748,0.143853332621894,0.624195935102255
"36","pghawwp",247,2021-12-01,-0.535966527648332,-0.011984611947738,0.506757591186033
"37","pghawwp",248,2022-01-01,-0.692503471620473,-0.106111830080381,0.39418393354637
"38","pghawwp",249,2022-02-01,-0.609958187398535,-0.0899642876000507,0.428061438102783
"39","pghawwp",250,2022-03-01,-0.516328472488794,0.0667316022654033,0.656850235984697
"40","pghawwp",251,2022-04-01,-0.39716280250584,0.174850476636057,0.786961369865998
"41","pghawwp",252,2022-05-01,-0.38185111384825,0.132566882092932,0.687027805967613
