"","DATE","gs10","pcepi","pcepilfe","fedfunds","baa","paclaims","pghunemp","pghcivlabforce","pghpermits","pghempmanuf","pghaww","pghmanuf","pghawwp","pghhouse","pghqwage","patax","fpi","pghngdp"
"1",2001-06-01,-0.247431446432826,0.0213496435396934,0.0269064966130479,-0.70435863594229,-0.149627873756801,1.67458799663775,1.02189370008368,0.00326502138580054,1.13477662899927,-0.0726160354745709,-0.0107159630430793,-4.8,-0.00739810170899702,0.043667512049204,-0.0428242009913902,0.199431879721047,-0.0348573754844139,-0.0428242009913902
"2",2001-07-01,-0.0912551926226328,-0.00405651581709776,0.0309263482627102,-0.620293118870158,0,-0.101114822270247,-0.500072356806816,0.0248352939234451,0.478195480407411,-0.0721677053352003,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001-08-01,-0.634819898692962,-0.00150276132590577,0.00582623272678617,-0.38817400638623,-0.182051532093684,-2.75321407466868,0.252640910373987,-0.0309474692154623,-0.658557558101133,-0.0730828998002764,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001-09-01,-0.593935651256348,-0.040796652121621,-0.0681981816716899,-2.07659527194353,0.272051953972241,0.375938203302269,-1.04413652387556,0.0588987965034917,-0.806077868723388,-0.107635416444147,0.0157010890368952,-5.9,-0.00274703885204275,0.0441366394845808,-0.00976496770439894,-1.00482213036791,-0.0193291700370537,-0.00976496770439894
"5",2001-10-01,-0.412943971172741,0.0421491457832417,0.0842057512590237,-2.51273821346987,-0.180680954149294,2.31008065788358,0.533421150850003,0.00808122915205445,0.653056467609925,-0.107653212192414,NA,NA,NA,NA,NA,NA,NA,NA
"6",2001-11-01,0.20824817631782,-0.00811724946397163,0.0242616563374369,-2.10142373399876,-0.152673815135612,0.775725631487035,1.00057930726861,0.0128188243567067,-2.0920267335108,-0.0886378106420516,NA,NA,NA,NA,NA,NA,NA,NA
"7",2001-12-01,1.084927331558,-0.0123367027740713,0.00275720290235526,-1.65993077865619,0.36320553094653,4.46122537892464,0,0.0054064358293715,2.21953225328928,-0.101561377454342,-0.0158601486002254,-5.9,-0.0080142822299436,0.0486138735380486,-0.024833142993316,-0.285109990059347,-0.0903399581858899,-0.024833142993316
"8",2002-01-01,-0.11846098174985,0.0108329056844561,0.00696274467712854,-0.608581110948197,-0.271368348013926,0.186163631677204,2.96232093517831,-0.035143750742435,3.68625410876652,-0.104751325669838,NA,NA,NA,NA,NA,NA,NA,NA
"9",2002-02-01,-0.313585683322176,0.0199851034491196,0.0227458008303785,0.0691644566010003,0.0304568691416538,-4.9111898790124,-0.380984379774963,0.0640476192559447,-3.74311687324536,-0.0680173710752214,NA,NA,NA,NA,NA,NA,NA,NA
"10",2002-03-01,0.871825870940892,0.032685720214559,0.0143207601694293,-0.0691644566010003,0.330020799234461,-1.04666538755207,-0.393477873875892,-0.0142771188685629,-0.542547389435594,-0.0632676003144006,0.0456922773361157,-3,0.0412196034551044,0.0575062758690343,0.0455629351890252,0.975398419539239,-0.0386214174901518,0.159428419476427
"11",2002-04-01,-0.160154903434736,0.0500551705398671,0.0334929598338469,0.137932553108821,-0.118960082023813,-0.631446503084781,-1.26432618789391,0.0202485473657532,2.22928513858016,-0.0480153212586778,NA,NA,NA,NA,NA,NA,NA,NA
"12",2002-05-01,-0.11571931526165,0.00775107163151034,0.0133998537058311,0,0.0893304373407613,-0.618315918910348,0,0.0176480976907243,0.251575229349569,-0.00938082596037759,NA,NA,NA,NA,NA,NA,NA,NA
"13",2002-06-01,-0.547171097266472,0.0150406750764134,0.0189934929396713,0,-0.209481628849916,0.724664805779568,0.648806655243309,-0.0107680527405236,-0.0432319263168814,-0.0383181496105856,0.0235677548136586,0.3,0.0270729753042751,0.0222265081878703,0.0128366204287715,0.101617580128632,-0.000529222412502861,0.0128366204287857
"14",2002-07-01,-0.701661221464005,0.0264615263133479,0.0242736250815661,-0.137932553108821,-0.0757100303191756,-0.0385633602200883,0,-0.000414348902538109,0.539607346438089,-0.080003969390706,NA,NA,NA,NA,NA,NA,NA,NA
"15",2002-08-01,-1.05117671181583,0.0235877414786607,0.0236518242477679,0.0691644566010003,-0.496194717824348,-2.05634680147626,-0.648806655243309,0.0170593378902382,-0.383109704306268,0.00182166386120741,NA,NA,NA,NA,NA,NA,NA,NA
"16",2002-09-01,-1.15217583887506,0.0216184259254177,0.0196028207736205,0.0687680965078203,-0.288398393329873,-0.0804986248214234,-0.923532493633543,0.0448512194377528,1.57755541431035,-0.0219468364921802,0.0228065408944644,3,0.0127715107964157,0.065649294114472,0.0151210587721664,-0.608036029735928,-0.00910815061132908,0.0151210587721664
"17",2002-10-01,0.215114595217826,0.0217272209968975,0.0101465419082096,0,0.523546348670475,2.22343936414274,0.237631527554157,-0.0196379132479549,0.558849446082977,-0.00127369053783966,NA,NA,NA,NA,NA,NA,NA,NA
"18",2002-11-01,0.330433893703264,0.0119553529153293,0.011707875188069,-3.20335408767123,-0.171989914809309,1.49538771827032,0.906090630097743,-0.0225654868375642,-4.83213017529045,-0.0493848909010772,NA,NA,NA,NA,NA,NA,NA,NA
"19",2002-12-01,-0.0594060619182741,0.0115013156674877,0.0111261686880866,-0.930698812150495,-0.270748047685037,5.31013388704275,0.428616991224952,0.00206820242698313,1.63394041769101,-0.0665436783859654,0.00339253663462813,3.8,0.00907128824273329,0.0463256848336222,0.000126607083487329,-0.228017057875611,0.00369686180792783,0.000126607083487329
"20",2003-01-01,0.0594060619182741,0.0357605194591741,0.00826662265155065,0,-0.162164630000678,-0.365652274487083,1.93969621867699,0.0718345254998525,-0.481544601833125,0.0298166868135503,NA,NA,NA,NA,NA,NA,NA,NA
"21",2003-02-01,-0.452883935794167,0.0505887486814096,0.0165161806307808,0.192004096157294,-0.483063140635135,-3.70352796185281,0,0.0133955642820496,0.398160003095537,-0.230458244871567,NA,NA,NA,NA,NA,NA,NA,NA
