"","variable","time","fcst_date","lower","median","upper"
"1","baa",236,2021-01-01,-0.995128270145771,-0.220161074337453,0.592710081207634
"2","baa",237,2021-02-01,-0.954676591456022,-0.112940203815166,0.747003771271997
"3","baa",238,2021-03-01,-0.916725683715201,-0.071830626683224,0.762659541471471
"4","baa",239,2021-04-01,-0.742562597762913,0.104125168486033,0.980357253951791
"5","baa",240,2021-05-01,-0.792611861230888,0.103565515485883,1.00768000721397
"6","baa",241,2021-06-01,-0.919710174909761,-0.0929922232766866,0.76479621111396
"7","baa",242,2021-07-01,-0.971939077284886,-0.157330413900773,0.67850933068053
"8","baa",243,2021-08-01,-0.942129837094424,-0.0892100082788186,0.777105324839381
"9","baa",244,2021-09-01,-0.769125459979491,0.0651117566567758,0.933341091087893
"10","baa",245,2021-10-01,-0.842665442134104,0.0505038024223213,0.91969545620574
"11","baa",246,2021-11-01,-0.892338766986656,-0.0172364561553376,0.800906047494142
"12","baa",247,2021-12-01,-0.858758871475329,-0.0387350942299049,0.807281908581734
"13","baa",248,2022-01-01,-0.959056406498809,-0.0808750336359251,0.790814559569143
"14","baa",249,2022-02-01,-1.02734265883479,-0.131564666950865,0.696214039715017
"15","baa",250,2022-03-01,-0.954876346589179,-0.0661472294700272,0.763302039096496
"16","baa",251,2022-04-01,-0.83472632703857,0.0526221030757995,0.914985065553173
"17","baa",252,2022-05-01,-0.789362729526209,0.0593940055144939,0.901260427965091
"18","baa",253,2022-06-01,-0.9156046279679,-0.0609573453909856,0.796582493884368
"19","baa",254,2022-07-01,-1.00467062557456,-0.132011737507129,0.670940980585406
"20","baa",255,2022-08-01,-0.94291945316297,-0.0988154966211293,0.816579169296906
"21","baa",256,2022-09-01,-0.925859367650842,0.0148160632961283,0.825617042787625
"22","baa",257,2022-10-01,-0.818355281508306,0.0366141614195457,0.901213658730735
"23","baa",258,2022-11-01,-0.893532249789477,-0.0349070298378544,0.773832156173349
"24","baa",259,2022-12-01,-0.88324873041253,-0.0340890704393923,0.826427213517791
"25","fedfunds",236,2021-01-01,-2.68882675503069,1.39171234847118,5.24877223460533
"26","fedfunds",237,2021-02-01,-3.71096236863177,1.93167169477818,7.21035278875207
"27","fedfunds",238,2021-03-01,-5.44460191721114,-0.171247468220918,5.04736522506393
"28","fedfunds",239,2021-04-01,-6.63125753443234,-0.950417366918242,4.59478786293369
"29","fedfunds",240,2021-05-01,-6.48251339617466,-0.896506068655595,4.75189910937326
"30","fedfunds",241,2021-06-01,-5.76304638757106,-0.294972264719128,5.09895960347083
"31","fedfunds",242,2021-07-01,-4.38418076582565,0.772482419315545,6.30646315643789
"32","fedfunds",243,2021-08-01,-4.55505444447092,0.909692033993655,6.09881867287428
"33","fedfunds",244,2021-09-01,-5.87105898726496,-0.130445625721784,5.44768333673811
"34","fedfunds",245,2021-10-01,-6.7646015368596,-0.800734275363806,4.31869142440743
"35","fedfunds",246,2021-11-01,-6.03602190667069,-0.689524451316893,4.95671617373021
"36","fedfunds",247,2021-12-01,-5.67263125784837,0.0853508562740591,5.95279581247022
"37","fedfunds",248,2022-01-01,-5.06260620525278,0.43520487027702,6.12449105397111
"38","fedfunds",249,2022-02-01,-5.15096421673721,0.549947214973848,6.2622538071343
"39","fedfunds",250,2022-03-01,-5.39361843709904,0.250426051545941,5.88702198568582
"40","fedfunds",251,2022-04-01,-5.84755365377051,-0.368406256016085,5.29391893154772
"41","fedfunds",252,2022-05-01,-6.86319588705134,-0.809139245804526,4.71197362481859
"42","fedfunds",253,2022-06-01,-6.17322030414634,-0.413168803110125,5.67445698579069
"43","fedfunds",254,2022-07-01,-5.50032506199222,0.326270105105987,6.04756880021286
"44","fedfunds",255,2022-08-01,-4.90856305114166,0.606280028119982,6.22127216209023
"45","fedfunds",256,2022-09-01,-5.45593547741534,-0.0719459557663079,5.70498054943374
"46","fedfunds",257,2022-10-01,-6.33312045171127,-0.828445901010137,5.0957207937976
"47","fedfunds",258,2022-11-01,-6.51829137598086,-0.690731959775062,4.87339730832734
"48","fedfunds",259,2022-12-01,-5.60543243582895,-0.13460718670666,5.35893330050599
"49","fpi",236,2021-01-01,-0.216600094556807,-0.023925976734267,0.187349554612978
"50","fpi",237,2021-02-01,-0.196440158633586,0.018328026902695,0.226872530034162
"51","fpi",238,2021-03-01,-0.115025510856668,0.12359163546175,0.375600073315755
"52","fpi",239,2021-04-01,-0.0279175680812578,0.219789706425495,0.47849515601638
"53","fpi",240,2021-05-01,-0.150478920677844,0.10651098588755,0.381974964512969
"54","fpi",241,2021-06-01,-0.299425495953649,-0.0305016661434937,0.250162147923106
"55","fpi",242,2021-07-01,-0.33743373019963,-0.0368754234198199,0.222690752831856
"56","fpi",243,2021-08-01,-0.217362903305594,0.0496784038627566,0.308712132379229
"57","fpi",244,2021-09-01,-0.194289905892627,0.106756168947964,0.365912893131288
"58","fpi",245,2021-10-01,-0.174083224083994,0.0931700814150212,0.379116669751652
"59","fpi",246,2021-11-01,-0.197819414155277,0.0766005336012046,0.335084705629655
"60","fpi",247,2021-12-01,-0.248934239345933,0.0421713688538208,0.294272430283761
"61","fpi",248,2022-01-01,-0.295578218140451,-0.0189074845559795,0.25945467039875
"62","fpi",249,2022-02-01,-0.294950425102219,-0.0220736711050611,0.256191224135637
"63","fpi",250,2022-03-01,-0.220429103634604,0.0762710656701332,0.346301861546933
"64","fpi",251,2022-04-01,-0.167760170034721,0.143366573047235,0.414208627059603
"65","fpi",252,2022-05-01,-0.181701023488188,0.0805825115198435,0.355148302075792
