DATE,SMU42383000500000001SA
1990-01-01,913.9150808576224417
1991-01-01,908.4722148694032750
1992-01-01,914.5669350117189167
1993-01-01,921.7909562325914917
1994-01-01,931.6613551317171917
1995-01-01,940.9837523223305750
1996-01-01,950.1961739844903333
1997-01-01,964.6783057713166667
1998-01-01,982.5221671646902583
1999-01-01,999.4982281169695917
2000-01-01,1019.4159460509292083
2001-01-01,1026.0732071348633250
2002-01-01,1012.8372775665725250
2003-01-01,1004.5579024163166750
2004-01-01,1005.2201581979316500
2005-01-01,1005.8204186782699583
2006-01-01,1010.0460098625858333
2007-01-01,1019.6790137066008000
2008-01-01,1022.4733023171908333
2009-01-01,993.6824016391064583
2010-01-01,997.5373860747900833
2011-01-01,1020.6623580015166833
2012-01-01,1036.6721046677499583
2013-01-01,1038.0655151353267250
2014-01-01,1041.4892783915574750
2015-01-01,1044.6632779601574833
2016-01-01,1046.0459176807633250
2017-01-01,1057.1589402504299833
2018-01-01,1069.7887595364316750
2019-01-01,1078.0265487056116583
2020-01-01,983.9187203835833167
2021-01-01,1003.8926961458158750
2022-01-01,.
