"","DATE","ur","manemp","rgdp","fpi"
"1","2005-06-01",-23.7631527554157,-2.44356367130791,1.94169754208602,10.6064527633382
"2","2005-07-01",0,-0.0843496292482371,NA,NA
"3","2005-08-01",-24.2432487810231,-1.94167969479864,NA,NA
"4","2005-09-01",24.2432487810231,-2.36803234221057,3.13020815626146,11.4510974281249
"5","2005-10-01",0,1.43829114408973,NA,NA
"6","2005-11-01",0,-0.422847884849631,NA,NA
"7","2005-12-01",-24.2432487810231,0.507399584726898,2.265286424322,6.3264315011569
"8","2006-01-01",-50.0072356806816,1.43646815026557,NA,NA
"9","2006-02-01",25.2640910373987,-0.0844505436845111,NA,NA
"10","2006-03-01",-25.2640910373987,0.42219329851676,5.3586102790149,11.1984789122591
"11","2006-04-01",0,1.01265828794439,NA,NA
"12","2006-05-01",-25.8074462651566,-1.94167969479864,NA,NA
"13","2006-06-01",0,0.844594629460005,0.981130666094288,0.3362414055605
"14","2006-07-01",25.8074462651566,-2.11260221459924,NA,NA
"15","2006-08-01",0,-2.45528713024967,NA,NA
"16","2006-09-01",-52.1821343276866,-2.88502472439518,0.601372464753069,-0.466985400862541
"17","2006-10-01",-26.9674270224703,-4.25532360809981,NA,NA
"18","2006-11-01",26.9674270224703,-2.90226347189986,NA,NA
"19","2006-12-01",-26.9674270224703,-2.22412381890464,3.36068937299032,0.192148517470514
"20","2007-01-01",53.3421150850003,-0.599507559840617,NA,NA
"21","2007-02-01",-26.37468806253,-0.942688854049578,NA,NA
"22","2007-03-01",-26.9674270224703,-2.31701720356696,1.17267480368426,1.66723370907853
"23","2007-04-01",26.9674270224703,-2.14938262730087,NA,NA
"24","2007-05-01",-26.9674270224703,-1.37762804826949,NA,NA
"25","2007-06-01",53.3421150850003,-1.55172435415309,2.54562067871973,2.12366168846607
"26","2007-07-01",25.8074462651566,-1.8992809720217,NA,NA
"27","2007-08-01",-25.8074462651566,-5.28196544964459,NA,NA
"28","2007-09-01",25.8074462651566,-3.3021963050011,2.40200016607588,-2.40769056506061
"29","2007-10-01",0,-2.26464464397225,NA,NA
"30","2007-11-01",0,-0.610442947650824,NA,NA
"31","2007-12-01",74.2504844617048,-0.959895335334693,2.43117276807467,-3.92185818385329
"32","2008-01-01",0,-1.83466236458187,NA,NA
"33","2008-02-01",-24.2432487810231,-2.53820159545057,NA,NA
"34","2008-03-01",48.0064015364388,-3.24620925435752,-1.63304691655597,-5.37457372732923
"35","2008-04-01",-23.7631527554157,-5.28286127271897,NA,NA
"36","2008-05-01",92.3532493633543,-3.09244363611612,NA,NA
"37","2008-06-01",43.6411730050496,-5.31994369174882,2.28265582417038,-2.72623989481282
"38","2008-07-01",42.1095837735241,-6.59391278214656,NA,NA
"39","2008-08-01",60.5170243522702,-6.4506650780416,NA,NA
"40","2008-09-01",0,-7.47946701052982,-2.11314351206227,-7.6867957448961
"41","2008-10-01",76.2160868667911,-11.6267656962421,NA,NA
"42","2008-11-01",54.1445223365637,-10.3587213651345,NA,NA
"43","2008-12-01",85.1420831667413,-17.0610198827525,-8.82911723370157,-23.5827818421267
"44","2009-01-01",79.4992626494409,-27.2964427633362,NA,NA
"45","2009-02-01",74.5581373284074,-17.4174101383976,NA,NA
"46","2009-03-01",56.4810130295825,-16.7889512572188,-4.69028138189458,-36.0483323287106
"47","2009-04-01",40.6818620108181,-17.6255334666159,NA,NA
"48","2009-05-01",52.1821343276866,-16.8762198840632,NA,NA
"49","2009-06-01",12.6985311966443,-13.8376978494136,-0.67752603272595,-20.114969667442
"50","2009-07-01",0,-5.95025584385951,NA,NA
"51","2009-08-01",12.5655598407544,-4.32729927157922,NA,NA
"52","2009-09-01",24.7431446432829,-3.61804124706069,1.445106400989,-2.77297031947619
"53","2009-10-01",24.2432487810234,-5.49959888629274,NA,NA
"54","2009-11-01",-12.0604030242019,-3.01991741801189,NA,NA
"55","2009-12-01",0,-3.5502984476949,4.24919806247175,1.04935907087196
"56","2010-01-01",-12.1828457568215,-1.56965359201706,NA,NA
"57","2010-02-01",0,-0.733208245218009,NA,NA
"58","2010-03-01",12.1828457568215,0,1.99522946597881,-2.22914263382989
"59","2010-04-01",0,3.76602174677814,NA,NA
"60","2010-05-01",-36.9259904001044,3.7542396137809,NA,NA
"61","2010-06-01",-25.2640910373987,2.08062470849697,3.85220946961127,14.0087567642009
"62","2010-07-01",0,1.66190626407001,NA,NA
"63","2010-08-01",12.6985311966443,-0.830665430763133,NA,NA
"64","2010-09-01",0,1.03824197513234,3.08068282833887,2.17410470102806
"65","2010-10-01",-12.6985311966443,-0.103783783849565,NA,NA
"66","2010-11-01",50.0072356806816,2.38475906886606,NA,NA
"67","2010-12-01",-62.8415826207792,1.03537538778724,2.07299968575185,8.85585364932986
"68","2011-01-01",-26.0879839636873,2.68780263989044,NA,NA
"69","2011-02-01",-13.2598034239017,3.4027949761736,NA,NA
"70","2011-03-01",0,2.16040180089578,-0.964826951214093,0.505774144991378
"71","2011-04-01",13.2598034239017,2.9770321954345,NA,NA
"72","2011-05-01",-13.2598034239017,0.922406843896084,NA,NA
"73","2011-06-01",13.2598034239017,1.43344726942942,2.70304930293293,11.3236243472894
"74","2011-07-01",-13.2598034239017,1.94265794568054,NA,NA
"75","2011-08-01",0,1.83751630970477,NA,NA
"76","2011-09-01",0,0.50992224453168,-0.155098716258095,17.253019854418
"77","2011-10-01",-26.9674270224703,1.12106679349822,NA,NA
"78","2011-11-01",-27.5874218696389,-1.01910834150658,NA,NA
"79","2011-12-01",-14.0352477158293,3.25810483534923,4.46173609319018,11.0274943123116
